first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Hiroshi,Furukawa,False,100.0,"{""count"":13952,""gender"":""male"",""name"":""Hiroshi"",""probability"":1.0},",False,99,"{""last_name"":""Furukawa"",""first_name"":""Hiroshi"",""strict"":false,""name"":""hiroshi"",""name_sanitized"":""Hiroshi"",""country"":"""",""gender"":""male"",""samples"":1730,""accuracy"":99,""duration"":""32ms"",""credits_used"":1},"
Nebojsa,Ralevic,False,99.0,"{""count"":2744,""gender"":""male"",""name"":""Nebojsa"",""probability"":0.99},",False,99,"{""last_name"":""Ralevic"",""first_name"":""Nebojsa"",""strict"":false,""name"":""nebojsa"",""name_sanitized"":""Nebojsa"",""country"":"""",""gender"":""male"",""samples"":1462,""accuracy"":99,""duration"":""37ms"",""credits_used"":1},"
Kazuhiro,Fuchi,False,100.0,"{""count"":3439,""gender"":""male"",""name"":""Kazuhiro"",""probability"":1.0},",False,100,"{""last_name"":""Fuchi"",""first_name"":""Kazuhiro"",""strict"":false,""name"":""kazuhiro"",""name_sanitized"":""Kazuhiro"",""country"":"""",""gender"":""male"",""samples"":419,""accuracy"":100,""duration"":""36ms"",""credits_used"":1},"
Michel,Abdalla,False,97.0,"{""count"":98070,""gender"":""male"",""name"":""Michel"",""probability"":0.97},",False,96,"{""last_name"":""Abdalla"",""first_name"":""Michel"",""strict"":false,""name"":""michel"",""name_sanitized"":""Michel"",""country"":"""",""gender"":""male"",""samples"":68146,""accuracy"":96,""duration"":""42ms"",""credits_used"":1},"
Martine,Collard,True,98.0,"{""count"":40965,""gender"":""female"",""name"":""Martine"",""probability"":0.98},",True,97,"{""last_name"":""Collard"",""first_name"":""Martine"",""strict"":false,""name"":""martine"",""name_sanitized"":""Martine"",""country"":"""",""gender"":""female"",""samples"":26046,""accuracy"":97,""duration"":""40ms"",""credits_used"":1},"
Yosuke,Furukawa,False,100.0,"{""count"":2978,""gender"":""male"",""name"":""Yosuke"",""probability"":1.0},",False,99,"{""last_name"":""Furukawa"",""first_name"":""Yosuke"",""strict"":false,""name"":""yosuke"",""name_sanitized"":""Yosuke"",""country"":"""",""gender"":""male"",""samples"":441,""accuracy"":99,""duration"":""35ms"",""credits_used"":1},"
Dirk,De Maeyer,False,100.0,"{""count"":92915,""gender"":""male"",""name"":""Dirk"",""probability"":1.0},",False,99,"{""last_name"":""de Maeyer"",""first_name"":""Dirk"",""strict"":false,""name"":""dirk"",""name_sanitized"":""Dirk"",""country"":"""",""gender"":""male"",""samples"":14847,""accuracy"":99,""duration"":""44ms"",""credits_used"":1},"
Alexei,Novikov,False,99.0,"{""count"":2028,""gender"":""male"",""name"":""Alexei"",""probability"":0.99},",False,98,"{""last_name"":""Novikov"",""first_name"":""Alexei"",""strict"":false,""name"":""alexei"",""name_sanitized"":""Alexei"",""country"":"""",""gender"":""male"",""samples"":1403,""accuracy"":98,""duration"":""49ms"",""credits_used"":1},"
Jin-Kao,Hao,,0.0,"{""count"":0,""gender"":null,""name"":""Jin-Kao"",""probability"":0.0},",False,71,"{""last_name"":""Hao"",""first_name"":""Jin-Kao"",""strict"":false,""name"":""jin-kao"",""name_sanitized"":""Jin-Kao"",""country"":"""",""gender"":""male"",""samples"":5228,""accuracy"":71,""duration"":""34ms"",""credits_used"":1},"
Tegegne,Marew,False,100.0,"{""count"":9,""gender"":""male"",""name"":""Tegegne"",""probability"":1.0},",False,83,"{""last_name"":""Tegegne"",""first_name"":""Marew"",""strict"":false,""name"":""marew"",""name_sanitized"":""Marew"",""country"":"""",""gender"":""male"",""samples"":6,""accuracy"":83,""duration"":""30ms"",""credits_used"":1},"
