first,last,isfemale-genderize,genderize-acc,genderize-log,isfemale-genderapi,genderapi-acc,genderapi-log
Paweł,Górecki,False,100.0,"{""count"":2033,""gender"":""male"",""name"":""Paweł"",""probability"":1.0},",False,100,"{""last_name"":""G\u00f3recki"",""first_name"":""Pawe\u0142"",""strict"":false,""name"":""pawe\u0142"",""name_sanitized"":""Pawe\u0142"",""country"":"""",""gender"":""male"",""samples"":33389,""accuracy"":100,""duration"":""36ms"",""credits_used"":1},"
Jan,Walraven,False,91.0,"{""count"":156353,""gender"":""male"",""name"":""Jan"",""probability"":0.91},",False,93,"{""last_name"":""Walraven"",""first_name"":""Jan"",""strict"":false,""name"":""jan"",""name_sanitized"":""Jan"",""country"":"""",""gender"":""male"",""samples"":104026,""accuracy"":93,""duration"":""40ms"",""credits_used"":1},"
Richard,Sproat,False,100.0,"{""count"":961211,""gender"":""male"",""name"":""Richard"",""probability"":1.0},",False,99,"{""last_name"":""Sproat"",""first_name"":""Richard"",""strict"":false,""name"":""richard"",""name_sanitized"":""Richard"",""country"":"""",""gender"":""male"",""samples"":97659,""accuracy"":99,""duration"":""37ms"",""credits_used"":1},"
Maik,Herfurth,False,99.0,"{""count"":13443,""gender"":""male"",""name"":""Maik"",""probability"":0.99},",False,98,"{""last_name"":""Herfurth"",""first_name"":""Maik"",""strict"":false,""name"":""maik"",""name_sanitized"":""Maik"",""country"":"""",""gender"":""male"",""samples"":7147,""accuracy"":98,""duration"":""35ms"",""credits_used"":1},"
Stefan,Bosse,False,100.0,"{""count"":274858,""gender"":""male"",""name"":""Stefan"",""probability"":1.0},",False,98,"{""last_name"":""Bosse"",""first_name"":""Stefan"",""strict"":false,""name"":""stefan"",""name_sanitized"":""Stefan"",""country"":"""",""gender"":""male"",""samples"":50890,""accuracy"":98,""duration"":""43ms"",""credits_used"":1},"
Zaruhi,Mnatsakanyan,True,100.0,"{""count"":30,""gender"":""female"",""name"":""Zaruhi"",""probability"":1.0},",True,100,"{""last_name"":""Mnatsakanyan"",""first_name"":""Zaruhi"",""strict"":false,""name"":""zaruhi"",""name_sanitized"":""Zaruhi"",""country"":"""",""gender"":""female"",""samples"":17,""accuracy"":100,""duration"":""30ms"",""credits_used"":1},"
Glenn,Stewart,False,100.0,"{""count"":124392,""gender"":""male"",""name"":""Glenn"",""probability"":1.0},",False,98,"{""last_name"":""Stewart"",""first_name"":""Glenn"",""strict"":false,""name"":""glenn"",""name_sanitized"":""Glenn"",""country"":"""",""gender"":""male"",""samples"":9914,""accuracy"":98,""duration"":""31ms"",""credits_used"":1},"
Hamed,Hassanzadeh,False,99.0,"{""count"":39392,""gender"":""male"",""name"":""Hamed"",""probability"":0.99},",False,98,"{""last_name"":""Hassanzadeh"",""first_name"":""Hamed"",""strict"":false,""name"":""hamed"",""name_sanitized"":""Hamed"",""country"":"""",""gender"":""male"",""samples"":10965,""accuracy"":98,""duration"":""26ms"",""credits_used"":1},"
Yuu,Tanaka,False,63.0,"{""count"":605,""gender"":""male"",""name"":""Yuu"",""probability"":0.63},",False,66,"{""last_name"":""Tanaka"",""first_name"":""Yuu"",""strict"":false,""name"":""yuu"",""name_sanitized"":""Yuu"",""country"":"""",""gender"":""male"",""samples"":600,""accuracy"":66,""duration"":""38ms"",""credits_used"":1},"
Balasingham,Balamohan,False,100.0,"{""count"":1,""gender"":""male"",""name"":""Balasingham"",""probability"":1.0},",False,100,"{""last_name"":""Balamohan"",""first_name"":""Balasingham"",""strict"":false,""name"":""balasingham"",""name_sanitized"":""Balasingham"",""country"":"""",""gender"":""male"",""samples"":2,""accuracy"":100,""duration"":""29ms"",""credits_used"":1},"
Rui,Wang,False,98.0,"{""count"":39978,""gender"":""male"",""name"":""Rui"",""probability"":0.98},",False,97,"{""last_name"":""Wang"",""first_name"":""Rui"",""strict"":false,""name"":""rui"",""name_sanitized"":""Rui"",""country"":"""",""gender"":""male"",""samples"":25872,""accuracy"":97,""duration"":""35ms"",""credits_used"":1},"
Mario,Tokoro,False,100.0,"{""count"":602458,""gender"":""male"",""name"":""Mario"",""probability"":1.0},",False,99,"{""last_name"":""Tokoro"",""first_name"":""Mario"",""strict"":false,""name"":""mario"",""name_sanitized"":""Mario"",""country"":"""",""gender"":""male"",""samples"":112267,""accuracy"":99,""duration"":""45ms"",""credits_used"":1},"
Mehdi,Snene,False,99.0,"{""count"":122130,""gender"":""male"",""name"":""Mehdi"",""probability"":0.99},",False,98,"{""last_name"":""Snene"",""first_name"":""Mehdi"",""strict"":false,""name"":""mehdi"",""name_sanitized"":""Mehdi"",""country"":"""",""gender"":""male"",""samples"":39443,""accuracy"":98,""duration"":""37ms"",""credits_used"":1},"
Padmanabhan,Menon,False,99.0,"{""count"":94,""gender"":""male"",""name"":""Padmanabhan"",""probability"":0.99},",False,100,"{""last_name"":""Menon"",""first_name"":""Padmanabhan"",""strict"":false,""name"":""padmanabhan"",""name_sanitized"":""Padmanabhan"",""country"":"""",""gender"":""male"",""samples"":201,""accuracy"":100,""duration"":""33ms"",""credits_used"":1},"
Kamran,Tirdad,False,100.0,"{""count"":30757,""gender"":""male"",""name"":""Kamran"",""probability"":1.0},",False,99,"{""last_name"":""Tirdad"",""first_name"":""Kamran"",""strict"":false,""name"":""kamran"",""name_sanitized"":""Kamran"",""country"":"""",""gender"":""male"",""samples"":6341,""accuracy"":99,""duration"":""29ms"",""credits_used"":1},"
Werner,Horn,False,100.0,"{""count"":51693,""gender"":""male"",""name"":""Werner"",""probability"":1.0},",False,99,"{""last_name"":""Horn"",""first_name"":""Werner"",""strict"":false,""name"":""werner"",""name_sanitized"":""Werner"",""country"":"""",""gender"":""male"",""samples"":7865,""accuracy"":99,""duration"":""33ms"",""credits_used"":1},"
Alexander,Redei,False,100.0,"{""count"":444831,""gender"":""male"",""name"":""Alexander"",""probability"":1.0},",False,99,"{""last_name"":""Redei"",""first_name"":""Alexander"",""strict"":false,""name"":""alexander"",""name_sanitized"":""Alexander"",""country"":"""",""gender"":""male"",""samples"":56237,""accuracy"":99,""duration"":""38ms"",""credits_used"":1},"
Anna,Rumshisky,True,99.0,"{""count"":1149231,""gender"":""female"",""name"":""Anna"",""probability"":0.99},",True,98,"{""last_name"":""Rumshisky"",""first_name"":""Anna"",""strict"":false,""name"":""anna"",""name_sanitized"":""Anna"",""country"":"""",""gender"":""female"",""samples"":184560,""accuracy"":98,""duration"":""44ms"",""credits_used"":1},"
Abdelkader,Adla,False,98.0,"{""count"":4590,""gender"":""male"",""name"":""Abdelkader"",""probability"":0.98},",False,98,"{""last_name"":""Adla"",""first_name"":""Abdelkader"",""strict"":false,""name"":""abdelkader"",""name_sanitized"":""Abdelkader"",""country"":"""",""gender"":""male"",""samples"":3770,""accuracy"":98,""duration"":""32ms"",""credits_used"":1},"
Nadia,Nedjah,True,99.0,"{""count"":227044,""gender"":""female"",""name"":""Nadia"",""probability"":0.99},",True,98,"{""last_name"":""Nedjah"",""first_name"":""Nadia"",""strict"":false,""name"":""nadia"",""name_sanitized"":""Nadia"",""country"":"""",""gender"":""female"",""samples"":44706,""accuracy"":98,""duration"":""42ms"",""credits_used"":1},"
Carmen,Banea,True,98.0,"{""count"":112109,""gender"":""female"",""name"":""Carmen"",""probability"":0.98},",True,98,"{""last_name"":""Banea"",""first_name"":""Carmen"",""strict"":false,""name"":""carmen"",""name_sanitized"":""Carmen"",""country"":"""",""gender"":""female"",""samples"":54029,""accuracy"":98,""duration"":""35ms"",""credits_used"":1},"
Giovanna,Guerrini,True,100.0,"{""count"":96720,""gender"":""female"",""name"":""Giovanna"",""probability"":1.0},",True,98,"{""last_name"":""Guerrini"",""first_name"":""Giovanna"",""strict"":false,""name"":""giovanna"",""name_sanitized"":""Giovanna"",""country"":"""",""gender"":""female"",""samples"":20319,""accuracy"":98,""duration"":""36ms"",""credits_used"":1},"
